Column_4
4.04
5.15
4.70
5.00
4.34
3.77
4.81
5.03
4.94
5.54
4.84
5.62
4.44
5.28
4.76
5.62
4.04
5.29
5.61
4.90
5.10
4.23
5.84
2.86
3.64
5.67
5.17
6.19
4.45
5.11
4.78
5.02
4.04
6.03
5.46
4.90
4.99
6.30
4.90
5.26
4.92
5.69
5.20
5.20
6.55
5.16
3.90
4.98
5.56
5.82
4.81
4.80
4.79
4.69
4.89
4.33
5.03
5.48
6.93
5.64
4.22
5.31
4.95
5.82
5.50
4.19
4.18
3.72
4.56
5.70
4.64
5.84
5.61
4.73
5.59
5.98
4.13
4.65
5.32
3.48
4.84
5.17
4.66
5.54
5.09
5.22
5.76
6.30
5.15
3.60
4.70
4.78
5.01
4.91
4.46
4.55
6.43
4.86
5.85
5.10
4.68
6.22
5.69
5.28
5.01
5.36
5.69
4.91
4.67
4.82
4.60
4.41
5.41
4.69
5.15
4.55
5.78
5.50
4.38
4.94
5.82
5.45
5.10
6.05
5.43
5.42
4.39
6.63
4.39
5.29
5.54
5.25
4.82
4.69
5.62
3.93
4.94
5.43
5.26
5.08
3.14
5.46
3.71
4.59
5.97
4.71
3.84
4.97
5.18
4.36
5.06
4.88
5.35
4.74
4.31
4.73
4.40
5.42
5.16
5.48
4.98
4.58
5.08
5.69
4.43
5.11
6.36
4.63
5.57
4.83
4.59
3.72
5.67
6.24
4.79
5.58
5.02
5.62
5.27
4.59
4.82
4.73
5.01
5.32
5.12
5.36
5.57
4.43
3.32
3.60
4.55
4.87
4.83
5.12
4.87
4.74
4.94
5.49
4.78
4.15
4.85
5.50
5.44
5.88
3.99
4.38
4.13
4.60
4.67
3.93
3.96
5.15
4.76
4.55
4.95
4.37
5.45
4.79
5.35
3.99
6.12
5.02
4.53
6.79
4.36
5.13
4.80
5.01
4.44
6.42
4.27
4.40
4.89
4.44
5.92
5.46
3.02
4.52
4.94
5.72
4.67
5.13
5.50
4.66
3.67
4.45
4.33
6.64
4.72
6.53
4.68
5.40
3.65
6.48
5.14
3.86
5.15
5.71
6.30
3.53
4.85
3.84
5.56
4.91
7.09
4.85
4.86
5.05
4.13
4.97
4.88
4.20
4.29
4.25
4.53
5.07
5.12
3.96
5.61
4.22
4.69
5.08
5.14
4.60
4.84
5.48
5.28
4.68
4.74
4.78
4.33
4.47
5.09
4.35
3.91
5.31
4.63
5.07
4.20
4.34
4.57
4.87
4.85
4.88
4.73
4.81
5.39
5.44
5.57
4.24
4.69
4.64
4.35
4.89
3.77
3.14
4.28
5.27
4.23
5.48
4.47
4.40
3.50
7.65
3.76
3.32
4.76
4.26
3.95
5.23
3.59
6.33
6.19
5.04
5.35
5.81
5.08
6.73
5.86
5.59
6.10
5.95
5.67
5.72
6.12
5.98
5.99
6.05
5.33
5.93
5.51
4.80
6.25
6.80
6.68
6.57
6.33
5.94
5.78
6.25
6.20
6.35
5.21
6.24
3.88
5.38
5.18
4.72
6.19
5.60
6.18
7.12
7.04
5.87
6.93
5.90
5.78
7.00
6.75
6.45
4.76
6.53
5.65
5.92
5.89
6.61
6.23
5.59
5.42
6.19
5.53
6.16
6.67
6.24
5.07
6.16
7.24
5.69
5.93
6.83
4.73
4.17
7.12
5.79
5.27
8.10
5.34
6.01
6.44
5.18
5.02
4.35
7.84
6.44
7.52
5.56
4.58
5.60
5.12
5.08
5.13
5.08
3.49
6.21
5.11
6.13
8.22
5.83
4.74
6.44
4.70
6.35
5.33
4.84
6.55
5.45
6.45
7.29
6.46
8.89
6.25
6.53
