3.85,5.60,3.78,4.04,5.02,3.79,4.00,,,,,,,,,,,,
5.27,6.67,5.08,5.15,6.02,5.32,5.34,,,,,,,,,,,,
4.53,4.39,4.81,4.70,4.77,4.03,4.39,,,"##?p01,04,05,06,07,10,11",,,,,,,,,
4.49,4.97,4.62,5.00,4.06,3.92,4.40,,,,,,,,,,,,
3.85,4.74,3.84,4.34,3.96,3.50,3.77,,,p01-p04:,"alpha_1 = 11.8586681190592 , alpha_2 = 64.1016327460091 , beta_1 = 0.711568798104386 , beta_2 = 0.461075887191269",,,,,,,,
2.97,5.76,4.24,3.77,3.41,3.37,3.36,,,01-05:,"alpha_1 = 10.543007755752 , alpha_2 = 67.2000585902193 , beta_1 = 0.711568798104386 , beta_2 = 0.44799740015353",,,,,,,,
4.97,5.81,4.60,4.81,5.30,4.23,4.12,,,01-07:,"alpha_1 = 11.2237634546597 , alpha_2 = 27.9979294784515 , beta_1 = 0.711568798104386 , beta_2 = 0.427364159834976",,,,,,,,
4.33,5.84,5.01,5.03,3.56,3.44,3.95,,,01-06: ,"alpha_1 = 13.6679901148008 , alpha_2 = 68.0639804450489 , beta_1 = 0.711568798104386 , beta_2 = 0.313600526319013",,,,,,,,
4.01,5.42,3.95,4.94,3.43,3.79,3.50,,,01-10:,"alpha_1 = 8.60095833846429 , alpha_2 = 63.8334123040285 , beta_1 = 0.711568798104386 , beta_2 = 0.689843715235231",,,,,,,,
5.45,6.14,5.32,5.54,6.17,4.33,4.37,,,01-11:,"alpha_1 = 10.7059423410926 , alpha_2 = 40.0218638395405 , beta_1 = 0.711568798104386 , beta_2 = 0.433728339688808",,,,,,,,
4.14,5.83,4.38,4.84,5.76,4.02,4.50,,,04-05:,"alpha_1 = 10.543007755752 , alpha_2 = 67.2000585902193 , beta_1 = 0.711568798104386 , beta_2 = 0.44799740015353",,,,,,,,
4.99,5.76,4.83,5.62,6.32,4.29,5.19,,,04-06:,"alpha_1 = 13.6679901148008 , alpha_2 = 68.0639804450489 , beta_1 = 0.711568798104386 , beta_2 = 0.313600526319013",,,,,,,,
3.26,5.36,4.25,4.44,4.67,3.45,4.13,,,04-07:,"alpha_1 = 14.1435631951351 , alpha_2 = 40.0905162681987 , beta_1 = 0.461075887191269 , beta_2 = 0.427364159834976",,,,,,,,
4.35,5.81,5.50,5.28,5.40,3.96,5.67,,,04-10:,"alpha_1 = 8.60095833846429 , alpha_2 = 63.8334123040285 , beta_1 = 0.711568798104386 , beta_2 = 0.689843715235231",,,,,,,,
4.40,5.06,3.99,4.76,4.42,2.90,4.23,,,04-11:,"alpha_1 = 10.7059423410926 , alpha_2 = 40.0218638395405 , beta_1 = 0.711568798104386 , beta_2 = 0.433728339688808",,,,,,,,
